,abstract
30,teliti tuju aplikasi sarana cari informasi kena lokasi foto kota bandung minat wisatawan sistem bangun bahasa program java tools android studio teliti metode actiondesign research metode kembang perangkat lunak rational unified process sistem informasi cari spot hunting photo kota bandung basis android hasil aplikasi ekstensi file aplikasi sistem informasi cari spot hunting tampil fiturfitur bantu proses cari liput nama spot hunting alamat jarak lokasi foto galeri tampil arah peta google maps
31,klinik mutiara cikutra rupa klinik sedia jasa sehat letak daerah cikutra bandung klinik mutiara cikutra kembang iring pasien jasa sehat klinik mutiara cikutra milik sistem informasi integrasi dukung aktivitas bisnis daftar pasien periksa pasien bayar tagih pasien dasar teliti tuju hasil rancang enterprise architecture solusi sistem informasi dukung aktivitas bisnis klinik teliti rancang enterprise architecture framework togaf architecture development method kembang arsitektur laku preliminary phase phase opportunities solution rancang enterprise architecture hasil blueprint arsitektur bisnis arsitektur data arsitektur aplikasi arsitektur teknologi roadmap implementasi aplikasi klinik mutiara cikutra
32,kota bandung rupa kota metropolitan provinsi jawa barat kota provinsi kota bandung milik sarana layan sehat lengkap provinsi kota bandung milik unit rumah sakit rumah sakit rupa instusi menyelenggaran layan sehat orang paripurna sedia rawat inap rawat jalan gawat darurat butuh masyarakat hadap layan sehat rumah sakit imbang informasi kena lokasi jadwal praktek dokter masyarakat kota bandung informasi kena lokasi rumah sakit masyarakat sulit informasi praktek dokter praktek dokter selenggara metode analisis rancang sistem tool unified modeling language aplikasi bangun basis website pemprograman phpsehingga aplikasi akses butuh sistem tunjang cari rumah sakit masyarakat mudah cari rumah sakit cari praktek dokter selenggara butuh bantu sistem informasi geografis implementasi qgis cari rumah sakit
33,tingkat kendara motor akibat tumpuk kendara utama persimpanganpersimpangan traffic light sistem smart traffic light prioritas jalur kendaraankendaraan kegawatdaruratan tahap utama rancang smart traffic light integrasi hardware rupa integrasi rfid aruino algoritma smart traffic light dasar software realisasi hardware laku rfid module mifare mikrokontroller arduino realisasi software aplikasi arduino library rfid perintah sesuai algoritma hasil integrasi hardware realisasi algoritma buah software hasil tingkat deteksi akurasi deteksi rfid capai respon ratarata metodologi teliti kothari metode kembang sistem prototype
34,teliti rupa teliti laku evaluasi manajemen tata kelola teknologi informasi lihat maturity level terap bank syariah audit tata kelola teknologi informasi tuju evaluasi manajemen tata kelola teknologi informasi terap bank syariah review tolak ukur capai kerja tata kelola bank syariah information technology governance governance rupa factor usaha manfaat teknologi informasi tata kelola teknologi informasi jamin manfaat teknologi informasi jalan tuju organisasi bangun tata kelola teknologi informasi adopsi standar itil coso lainlain teliti standar referensi laras kembang tuju usaha relative jamin kembang model tata kelola teknologi informasi critical success factor sasar institusi ukur tingkat matang tata kelola teknologi informasi analisa analisa resiko unutk identifikasi proses urgent rencana rekomendasi proses sesuai maturity level hasil teliti usul model tata kelola teknologi informasi harap sesuai bank syariah domain cobit kait rencana laras strategi strategi usaha cakup strategi taktik identifikasi kontribusi maksimal hadap capai tuju bisnis organisasi
35,industri kreatif orientasi pasar bandung hadap tantang hasil produk gemar pesat kembang tren masyarakat industri kreatif golong usaha mikro umkm bantu ahli dana hadap muncul tumbuh andal dukung umkm sudut pandang teknologi informasi butuh tunjang butuh umkm saing kembang sistem analisa orientasi objek model waterfall rancang liput rancang proses rancang basis data antarmuka implementasi hasil rancang pengkodean bahasa program aplikasi jual basis framework alat simpan data transaksi jual beli produk umkm umkm lihat data transaksi jual aplikasi
36,koperasi kredit mekar jaya rupa lembaga uang bank tugas pokok bantu anggota kredit uang modal usaha tingkat sejahtera anggota keluarga proses bisnis aktivitas sehariharinya liput daftar anggota layan proses transaksi pinjam bayar sisa hasil usaha anggota proses bisnis jalan dukung sistem informasi metode manual proses lapor data libat lintas divisi organisasi teknologi informasi enterprise milik kerangka pedoman kembang sistem informasi dokumentasi kena sistem teknologi rencana sistem informasi sifat integrasi arsitektur enterprise rupa upaya pandang elemenelemen enterprise kembang olah produk arsitektur enterprise proses metodologi pakai salah rencana arsitektur enterprise enterprise architecture planningeap basis kerangka kerja zachman
37,maju teknologi pesat aplikasi butuh masyarakat aplikasi bantu mudah masyarakat khusus masyarakat jawa barat informasi hutan jawa barat luas wilayah konservasi informasi deskripsi wilayah hutan data statistik hutan peta lokasi sebar wilayah hutan konservasi metode sistem informasi geografis menganalisa data gambar alur sistem metode waterfall object oriented unified modelling language sistem aplikasi google maps tampil peta geographic information system macromedia dreamweaver desain aplikasi framework aplikasi baca bahasa program phpmyadmin tools kelola database basis mysql database server
38,kembang teknologi informasi cepat rupa tantang teknologi informasi dorong organisasi sektor formal informal lembaga tunjang giat kerja hasil informasi cepat akurat capai sumber daya dukung perangkat lunak handal sumber daya manusia kuasa teknologi informasi canggih teknologi kembang pesat aspek hidup depansistem informasi titik desain jual sederhana cepat tingkat salah kelola beli data jual sedia mudah lapor isuisu vape clinic jual sulit kelola transaksi data sedia informasi akurat manajemen efektif data barang memori batas tenaga kerja akibat data beli jual toko kontrol baikuntuk tangan aplikasi khusus kelola catat transaksi masuk barang beli jual barang vape clinic aplikasi bangun framework code igniter jquery database mysql mysqlfront toolsnya harap bantu beli rekam data jual sedia vape clinic ntuk tingkat efektivitas kerja informasi cepat akurat
39,aktivitas tangan transaksi perisai angkasa kerja transaksi transaksi masuk catat stok catat lapor uang usaha karyawan repot aktivitas simpan dokumen manual hitung transaksi microsoft excel butuh aplikasi barang aktivitas mudah metode aplikasi barang menganalisa data gambar alur sistem waterfall object oriented programming unifed modeling language case diagram class diagram sequence diagram component diagram teknik kumpul data observasi wawancara tunjang putus aplikasi visual studio mysql aplikasi barang rancang mudah cepat proses giat perisai angkasa akurat data catat simpan database
